A,Score,Y
0,69,0.286
1,145,0.196
0,125,0.261
1,86,0.109
1,158,0.23
0,133,0.35
0,111,0.33
1,147,0.194
0,146,0.413
0,145,0.36
1,141,0.225
0,137,0.423
1,118,0.186
0,111,0.287
0,109,0.371
1,99,0.183
0,114,0.345
0,82,0.264
0,185,0.413
1,156,0.316
1,86,0.062
1,108,0.272
1,106,0.229
1,143,0.195
1,117,0.097
1,128,0.137
0,119,0.337
0,119,0.307
0,161,0.383
0,113,0.253
1,165,0.249
1,74,0.027
1,138,0.099
1,124,0.149
0,126,0.391
0,131,0.311
1,105,0.171
0,110,0.207
0,89,0.26
0,88,0.293
0,129,0.36
0,133,0.356
0,122,0.289
0,148,0.328
0,182,0.383
0,105,0.302
0,51,0.133
0,150,0.353
0,99,0.268
1,99,0.234
