PersonID,A,Score,M,Y
1,0,69,43,38
2,1,145,56,40
3,0,125,32,24
4,1,86,45,33
5,1,158,33,23
6,0,133,61,60
7,0,111,49,35
8,1,147,76,47
9,0,146,78,63
10,0,145,64,57
11,1,141,34,18
12,0,137,44,30
13,1,118,53,33
14,0,111,40,28
15,0,109,56,46
16,1,99,59,37
17,0,114,38,27
18,0,82,45,28
19,0,185,45,43
20,1,156,77,50
21,1,86,70,31
22,1,108,77,49
23,1,106,63,38
24,1,143,68,45
25,1,117,50,37
26,1,128,51,34
27,0,119,29,21
28,0,119,37,26
29,0,161,18,17
30,0,113,49,40
31,1,165,75,58
32,1,74,12,11
33,1,138,23,18
34,1,124,37,28
35,0,126,59,39
36,0,131,55,51
37,1,105,88,55
38,0,110,47,30
39,0,89,22,18
40,0,88,41,26
41,0,129,57,46
42,0,133,32,26
43,0,122,53,36
44,0,148,31,24
45,0,182,23,22
46,0,105,51,34
47,0,51,22,10
48,0,150,38,29
49,0,99,23,20
50,1,99,67,43
