PersonID,A,Score,Weather,Y
1,0,69,B,1
1,0,69,A,1
1,0,69,C,1
1,0,69,A,1
1,0,69,B,1
1,0,69,B,1
1,0,69,C,0
1,0,69,B,1
1,0,69,A,1
1,0,69,A,1
1,0,69,A,1
1,0,69,C,1
1,0,69,A,1
1,0,69,A,1
1,0,69,A,1
1,0,69,A,1
1,0,69,A,0
1,0,69,B,1
1,0,69,A,1
1,0,69,A,1
1,0,69,B,1
1,0,69,B,1
1,0,69,C,0
1,0,69,C,1
1,0,69,A,1
1,0,69,A,1
1,0,69,B,1
1,0,69,A,1
1,0,69,B,1
1,0,69,A,1
1,0,69,B,1
1,0,69,A,1
1,0,69,B,1
1,0,69,A,0
1,0,69,C,0
1,0,69,A,1
1,0,69,A,1
1,0,69,A,1
1,0,69,B,1
1,0,69,A,1
1,0,69,A,1
1,0,69,B,1
1,0,69,B,1
2,1,145,A,1
2,1,145,A,1
2,1,145,A,1
2,1,145,C,1
2,1,145,A,0
2,1,145,B,1
2,1,145,B,1
2,1,145,B,1
2,1,145,B,0
2,1,145,A,1
2,1,145,A,1
2,1,145,A,1
2,1,145,A,1
2,1,145,A,1
2,1,145,C,1
2,1,145,A,0
2,1,145,C,1
2,1,145,A,1
2,1,145,A,0
2,1,145,A,0
2,1,145,A,1
2,1,145,B,0
2,1,145,A,1
2,1,145,B,1
2,1,145,C,1
2,1,145,B,0
2,1,145,C,1
2,1,145,C,1
2,1,145,A,1
2,1,145,B,1
2,1,145,A,1
2,1,145,B,1
2,1,145,C,0
2,1,145,A,1
2,1,145,A,1
2,1,145,C,0
2,1,145,B,1
2,1,145,B,1
2,1,145,C,1
2,1,145,B,1
2,1,145,A,1
2,1,145,A,0
2,1,145,A,1
2,1,145,A,1
2,1,145,B,1
2,1,145,A,0
2,1,145,A,0
2,1,145,B,1
2,1,145,A,0
2,1,145,A,1
2,1,145,B,1
2,1,145,B,0
2,1,145,B,1
2,1,145,A,1
2,1,145,A,0
2,1,145,C,0
3,0,125,A,1
3,0,125,A,1
3,0,125,C,1
3,0,125,B,1
3,0,125,B,1
3,0,125,A,1
3,0,125,A,1
3,0,125,A,1
3,0,125,C,1
3,0,125,A,0
3,0,125,A,1
3,0,125,A,1
3,0,125,B,0
3,0,125,B,1
3,0,125,C,0
3,0,125,B,0
3,0,125,A,1
3,0,125,C,0
3,0,125,A,0
3,0,125,C,1
3,0,125,B,1
3,0,125,B,0
3,0,125,A,1
3,0,125,A,1
3,0,125,A,1
3,0,125,B,1
3,0,125,A,1
3,0,125,B,1
3,0,125,B,1
3,0,125,A,1
3,0,125,A,0
3,0,125,C,1
4,1,86,A,0
4,1,86,A,1
4,1,86,A,0
4,1,86,B,1
4,1,86,B,0
4,1,86,C,1
4,1,86,A,1
4,1,86,A,1
4,1,86,C,1
4,1,86,A,1
4,1,86,A,0
4,1,86,A,1
4,1,86,A,1
4,1,86,A,0
4,1,86,B,1
4,1,86,A,1
4,1,86,A,1
4,1,86,C,0
4,1,86,B,1
4,1,86,B,1
4,1,86,B,1
4,1,86,C,1
4,1,86,B,0
4,1,86,C,1
4,1,86,A,1
4,1,86,A,1
4,1,86,C,0
4,1,86,A,1
4,1,86,B,1
4,1,86,A,1
4,1,86,C,0
4,1,86,B,1
4,1,86,A,1
4,1,86,A,1
4,1,86,B,1
4,1,86,A,1
4,1,86,A,0
4,1,86,C,1
4,1,86,A,1
4,1,86,C,1
4,1,86,B,1
4,1,86,A,1
4,1,86,A,1
4,1,86,A,0
4,1,86,A,0
5,1,158,C,1
5,1,158,B,0
5,1,158,B,0
5,1,158,C,1
5,1,158,B,0
5,1,158,A,1
5,1,158,A,1
5,1,158,B,1
5,1,158,A,1
5,1,158,A,1
5,1,158,B,1
5,1,158,B,1
5,1,158,B,0
5,1,158,A,0
5,1,158,B,1
5,1,158,A,1
5,1,158,B,1
5,1,158,B,0
5,1,158,A,1
5,1,158,A,1
5,1,158,B,0
5,1,158,A,0
5,1,158,A,1
5,1,158,A,0
5,1,158,A,1
5,1,158,A,1
5,1,158,B,0
5,1,158,A,1
5,1,158,C,1
5,1,158,C,1
5,1,158,A,1
5,1,158,B,1
5,1,158,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,C,1
6,0,133,A,1
6,0,133,B,1
6,0,133,B,1
6,0,133,C,1
6,0,133,B,1
6,0,133,B,1
6,0,133,C,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,C,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,B,1
6,0,133,A,1
6,0,133,A,0
6,0,133,A,1
6,0,133,B,1
6,0,133,A,1
6,0,133,C,1
6,0,133,B,1
6,0,133,A,1
6,0,133,B,1
6,0,133,B,1
6,0,133,A,1
6,0,133,A,1
6,0,133,B,1
6,0,133,C,1
6,0,133,B,1
6,0,133,C,1
6,0,133,A,1
6,0,133,A,1
6,0,133,B,1
6,0,133,C,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,C,1
6,0,133,C,1
6,0,133,B,1
6,0,133,B,1
6,0,133,A,1
6,0,133,A,1
6,0,133,A,1
6,0,133,B,1
6,0,133,B,1
6,0,133,A,1
6,0,133,B,1
6,0,133,A,1
6,0,133,C,1
6,0,133,C,1
7,0,111,A,1
7,0,111,B,1
7,0,111,B,0
7,0,111,C,1
7,0,111,A,1
7,0,111,A,1
7,0,111,C,0
7,0,111,A,1
7,0,111,B,0
7,0,111,A,1
7,0,111,A,1
7,0,111,B,1
7,0,111,A,1
7,0,111,B,0
7,0,111,A,1
7,0,111,A,0
7,0,111,B,1
7,0,111,C,1
7,0,111,B,0
7,0,111,A,1
7,0,111,B,0
7,0,111,B,1
7,0,111,C,1
7,0,111,B,1
7,0,111,C,1
7,0,111,A,1
7,0,111,A,1
7,0,111,C,0
7,0,111,A,1
7,0,111,B,1
7,0,111,A,1
7,0,111,B,1
7,0,111,C,1
7,0,111,B,0
7,0,111,A,0
7,0,111,A,0
7,0,111,A,0
7,0,111,A,1
7,0,111,A,1
7,0,111,B,1
7,0,111,A,1
7,0,111,B,0
7,0,111,A,1
7,0,111,C,1
7,0,111,B,1
7,0,111,C,1
7,0,111,A,1
7,0,111,A,0
7,0,111,A,1
8,1,147,B,1
8,1,147,A,0
8,1,147,A,1
8,1,147,C,0
8,1,147,A,1
8,1,147,A,0
8,1,147,B,1
8,1,147,B,1
8,1,147,B,0
8,1,147,C,0
8,1,147,B,0
8,1,147,C,1
8,1,147,A,1
8,1,147,A,1
8,1,147,A,1
8,1,147,A,0
8,1,147,C,1
8,1,147,A,0
8,1,147,A,0
8,1,147,A,0
8,1,147,A,1
8,1,147,C,1
8,1,147,A,1
8,1,147,A,1
8,1,147,A,1
8,1,147,A,1
8,1,147,B,1
8,1,147,A,0
8,1,147,A,1
8,1,147,A,0
8,1,147,A,1
8,1,147,B,0
8,1,147,A,1
8,1,147,B,1
8,1,147,C,0
8,1,147,B,0
8,1,147,B,1
8,1,147,B,1
8,1,147,B,1
8,1,147,C,0
8,1,147,A,1
8,1,147,B,1
8,1,147,A,1
8,1,147,C,1
8,1,147,A,1
8,1,147,A,1
8,1,147,C,1
8,1,147,B,1
8,1,147,A,0
8,1,147,A,1
8,1,147,B,0
8,1,147,A,1
8,1,147,A,0
8,1,147,C,1
8,1,147,B,1
8,1,147,A,1
8,1,147,A,1
8,1,147,A,1
8,1,147,B,0
8,1,147,A,1
8,1,147,A,0
8,1,147,A,0
8,1,147,C,0
8,1,147,A,0
8,1,147,C,0
8,1,147,B,1
8,1,147,A,1
8,1,147,B,1
8,1,147,B,1
8,1,147,A,1
8,1,147,B,0
8,1,147,A,1
8,1,147,A,1
8,1,147,A,0
8,1,147,C,0
8,1,147,A,0
9,0,146,B,1
9,0,146,A,1
9,0,146,A,1
9,0,146,C,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,0
9,0,146,B,1
9,0,146,B,0
9,0,146,B,1
9,0,146,B,1
9,0,146,C,1
9,0,146,B,1
9,0,146,C,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,0
9,0,146,A,1
9,0,146,B,1
9,0,146,C,1
9,0,146,A,1
9,0,146,A,0
9,0,146,A,0
9,0,146,A,1
9,0,146,A,1
9,0,146,B,0
9,0,146,A,1
9,0,146,A,1
9,0,146,B,1
9,0,146,B,0
9,0,146,A,1
9,0,146,A,1
9,0,146,B,1
9,0,146,B,0
9,0,146,B,1
9,0,146,B,0
9,0,146,A,1
9,0,146,C,1
9,0,146,B,1
9,0,146,A,1
9,0,146,B,1
9,0,146,A,1
9,0,146,B,1
9,0,146,A,1
9,0,146,B,1
9,0,146,B,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,1
9,0,146,B,1
9,0,146,A,1
9,0,146,A,0
9,0,146,A,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,0
9,0,146,A,0
9,0,146,A,1
9,0,146,B,1
9,0,146,A,1
9,0,146,C,0
9,0,146,A,1
9,0,146,C,1
9,0,146,B,1
9,0,146,A,1
9,0,146,A,1
9,0,146,C,1
9,0,146,B,1
9,0,146,A,1
9,0,146,B,1
9,0,146,A,1
9,0,146,A,1
9,0,146,A,0
9,0,146,C,1
9,0,146,A,0
10,0,145,B,1
10,0,145,A,1
10,0,145,A,0
10,0,145,A,1
10,0,145,B,1
10,0,145,B,1
10,0,145,C,1
10,0,145,C,0
10,0,145,C,0
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,C,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,B,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,0
10,0,145,B,1
10,0,145,A,1
10,0,145,B,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,C,1
10,0,145,B,0
10,0,145,B,1
10,0,145,B,1
10,0,145,B,1
10,0,145,A,1
10,0,145,A,1
10,0,145,C,1
10,0,145,C,0
10,0,145,A,1
10,0,145,C,1
10,0,145,C,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
10,0,145,A,1
