y,x,f
6,8.31,C
6,9.44,C
6,9.5,C
12,9.07,C
10,10.16,C
4,8.32,C
9,10.61,C
9,10.06,C
9,9.93,C
11,10.43,C
6,10.36,C
10,10.15,C
6,10.92,C
10,8.85,C
11,9.42,C
8,11.11,C
3,8.02,C
8,11.93,C
5,8.55,C
5,7.19,C
4,9.83,C
11,10.79,C
5,8.89,C
10,10.09,C
6,11.63,C
6,10.21,C
7,9.45,C
9,10.44,C
3,9.44,C
10,10.48,C
2,9.43,C
9,10.32,C
10,10.33,C
5,8.5,C
11,9.41,C
10,8.96,C
4,9.67,C
8,10.26,C
9,10.36,C
12,11.8,C
8,10.94,C
9,10.25,C
8,8.74,C
6,10.46,C
6,9.37,C
10,9.74,C
10,8.95,C
9,8.74,C
12,11.32,C
6,9.25,C
14,10.14,T
6,9.05,T
7,9.89,T
9,8.76,T
6,12.04,T
7,9.91,T
9,9.84,T
13,11.87,T
9,10.16,T
13,9.34,T
7,10.17,T
8,10.99,T
10,9.19,T
7,10.67,T
12,10.96,T
6,10.55,T
15,9.69,T
3,10.91,T
4,9.6,T
6,12.37,T
10,10.54,T
8,11.3,T
8,12.4,T
7,10.18,T
5,9.53,T
6,10.24,T
8,11.76,T
9,9.52,T
9,10.4,T
6,9.96,T
7,10.3,T
10,11.54,T
6,9.42,T
11,11.28,T
11,9.73,T
11,10.78,T
5,10.21,T
6,10.51,T
4,10.73,T
5,8.85,T
6,11.2,T
5,9.86,T
8,11.54,T
5,10.03,T
9,11.88,T
8,9.15,T
6,8.52,T
8,10.24,T
7,10.86,T
9,9.97,T
