Y,Weight,Age
2.46,16.6,7
3.02,21.4,7
2.91,24,7
3.05,13,7
2.6,21.9,7
2.45,22.1,7
2.61,18.7,7
2.91,18.8,7
3.34,18.7,7
3.17,21.5,8
2.75,22.8,8
3.02,21.1,8
3.29,21.8,8
3,24.5,8
2.93,27.4,8
3.07,23.9,8
2.76,22.7,8
3.17,21.4,8
3.47,21.6,8
3.01,32,8
3.26,24.7,8
3.51,26.5,9
3.56,26.7,9
3.15,29.6,9
3.64,25.9,9
3.83,23.5,9
4.01,29.9,9
4,24.8,9
3.42,28.1,9
3.79,25.1,9
3.09,31.6,9
4.35,30.4,10
4.41,29.6,10
4.72,30.3,10
4.36,26.7,10
4.03,28.2,10
4.32,24.9,10
4.05,27.6,10
3.81,31,10
4.13,30.4,10
3.57,36.5,10
4.21,28.5,10
4.24,29.2,10
4.04,31,10
4.09,28.7,10
3.95,28.8,10
4.29,32.2,11
4.9,31.7,11
4.56,34,11
4.8,34.1,11
4.34,29.9,11
4.61,33.8,11
4.82,32.2,11
4.6,32.5,11
4.44,35.2,11
4.18,37.5,11
4.89,41,11
4.81,33.2,11
5.28,44.6,12
5.11,35.8,12
4.67,41.6,12
4.16,47.7,12
4.75,39.4,12
5.09,37.4,12
5.24,39.5,12
4.79,45.2,12
