X,Y
-2.1,98.2
-1.9,109.3
-1.3,95.4
-1.4,93.5
-1.3,95.5
-0.8,91.5
-0.8,99.5
-1,95.1
-0.7,96.4
-0.5,87.4
0,87.3
0,84.2
0.2,85.1
0.3,78.5
0.4,75.8
1,89.7
1,82.3
0.6,74.2
1.4,72.4
1.3,69.6
1.4,88.4
1.7,80.8
1.7,71.7
2,74.6
2.2,67.7
2.1,67.6
2.8,61.1
2.9,61.9
2.8,75.2
3.4,61.2
3.4,62.1
3.5,62.5
3.9,65.5
4.1,54.5
4.2,50.7
4.4,65
4.5,52
4.6,50.1
4.7,46.4
4.9,45.1
5,48.5
5.3,53.7
5.3,56.7
6.1,49.6
6.1,43.6
5.8,47.6
6.1,41.5
6.3,40.5
6.7,47.5
6.7,36.6
7,52.3
7.1,40
7.3,40.9
7.7,33.3
7.6,34.9
8.1,28.3
7.7,36.7
8.3,37.4
8.4,36.5
8.6,29.4
8.8,28.4
8.8,30.1
9,40.6
9.1,25.4
9.2,30.2
9.7,40.3
9.9,28.1
10,20.6
10.3,23.3
10.7,28.5
10.4,24.7
10.2,24.3
11.1,22.7
10.9,25.7
11.1,33.7
11.6,22.5
11.5,29.4
11.5,26.9
12,21.4
12.1,13
12.3,18.2
12.6,17.7
12.6,20.7
13,26.9
13,32.6
13.3,27.7
13.6,17.4
13.6,8.1
13.7,15.8
14.1,17.6
14.3,21.7
14.4,22.2
14.5,20.4
14.5,8.6
15.1,20.5
14.9,13.4
15.6,16
15.6,15.4
15.5,17.6
15.5,15.3
15.7,5.3
16.1,18.7
16.2,16.6
16.3,12.7
16.4,14.9
16.8,14.7
16.8,15.2
16.8,23.3
17.2,12.5
17.7,14.5
17.5,20.3
18,19.5
17.7,20.1
18.2,10.2
18.5,24.9
18.6,13.9
18.8,24.2
18.8,5.9
18.9,13.7
19.1,20.8
19.5,9.8
19.4,9.5
19.7,8.7
19.9,8.2
20.5,12.2
20.2,16.3
20.6,3.3
20.7,16.1
20.7,21.9
21,26.9
21.5,23.4
21.5,20.2
21.6,6.2
21.7,12.8
21.5,14
22.4,21.3
22,16.1
22.6,10.7
23.1,28.3
22.6,22.9
23.2,20.3
23.2,25.8
23.1,11.1
23.3,22.9
23.4,16.5
23.8,24.3
23.8,20.1
24.4,25.6
24.9,30.9
24.4,21.9
25,29.4
25.1,17.3
25.2,20.3
25.2,32.8
25.5,27.4
25.7,14
26,19.1
26,25.7
26.4,33.4
26.3,27.5
26.8,33.4
26.6,34.4
26.7,39
27.8,34
27.2,31.2
27.6,22.8
27.8,34.4
27.8,30.3
28.1,29.7
28.3,34.9
28.3,41.9
28.6,25.9
28.7,35.5
29.4,41.5
29,33.9
29.1,41.4
29.5,43.8
29.7,42.4
29.9,29.6
29.9,58.3
