Y,Area
263.062,40.66
519,61.94
671.4,55.13
473.03,56.82
455.6,56.82
153.5,15.5
234,32
264.48,33.21
650,63.83
223.2,20
160.8,20
756,82.81
220.9,26.49
201.6,23.63
246,22.48
161.2,19.83
200.2,23.14
196.2,20.09
182.3,23.47
496.5,41.58
291.376,44
158,19.5
473.22,42.89
634.4,53.14
310.6,30.83
868,64.34
306.63,23.37
434.2,39.84
272,40.6
259.5,30.45
155.6,31
351,54.18
1870.5,112.82
184.2,21
179.4,15.57
184.2,21
207.6,21
364.5,37.13
235,23.08
432,57.1
183.6,33.43
297.6,24.92
124.6,11.64
282.22,31.56
311.6,35.54
247,29
1234.8,72.56
419.2,45.01
185.508,24.3
184.2,21
347.8,36.56
884.8,54.68
453,34.89
184.5,29
234,32
191.25,18.6
312.5,46.7
598.5,48.75
318.4,26.06
197.508,29.16
145.4,18
147.8,17
593.6,50.5
413.4,31.48
176.2,18.2
250.6,27.02
194,18.9
401.1,51.3
228.2,30.52
476.82,45.96
146.4,16.89
164.304,23.01
210.075,30.24
207,21.35
179,19.87
352.4,45
1053,81.46
260,38.25
390,44.28
154.86,16.61
636.3,68.24
459.2,49.14
781.2,37.81
179.8,22.72
240.6,26.42
1754.5,110.06
213.3,35.1
503.7,51.95
194.8,23.52
217.3,38.22
264,32.1
221,33
280.8,50.68
389.7,31.36
196.35,25
209.508,19.4
221,28.07
604.5,59.71
325,32.88
423,41.2
