id,pot,f,y
1,A,C,6
2,A,C,3
3,A,C,19
4,A,C,5
5,A,C,0
6,A,C,19
7,A,C,4
8,A,C,8
9,A,C,12
10,A,C,8
11,B,C,0
12,B,C,1
13,B,C,1
14,B,C,5
15,B,C,7
16,B,C,4
17,B,C,0
18,B,C,4
19,B,C,2
20,B,C,23
21,C,C,2
22,C,C,1
23,C,C,4
24,C,C,3
25,C,C,4
26,C,C,0
27,C,C,1
28,C,C,1
29,C,C,3
30,C,C,6
31,D,C,27
32,D,C,3
33,D,C,29
34,D,C,17
35,D,C,1
36,D,C,16
37,D,C,16
38,D,C,6
39,D,C,4
40,D,C,8
41,E,C,6
42,E,C,16
43,E,C,8
44,E,C,3
45,E,C,2
46,E,C,8
47,E,C,4
48,E,C,0
49,E,C,0
50,E,C,2
51,F,T,2
52,F,T,2
53,F,T,0
54,F,T,0
55,F,T,1
56,F,T,0
57,F,T,0
58,F,T,1
59,F,T,0
60,F,T,1
61,G,T,11
62,G,T,2
63,G,T,2
64,G,T,18
65,G,T,3
66,G,T,8
67,G,T,7
68,G,T,3
69,G,T,1
70,G,T,0
71,H,T,7
72,H,T,0
73,H,T,0
74,H,T,0
75,H,T,1
76,H,T,1
77,H,T,0
78,H,T,0
79,H,T,1
80,H,T,1
81,I,T,10
82,I,T,2
83,I,T,11
84,I,T,4
85,I,T,3
86,I,T,16
87,I,T,4
88,I,T,37
89,I,T,5
90,I,T,19
91,J,T,27
92,J,T,1
93,J,T,1
94,J,T,2
95,J,T,0
96,J,T,1
97,J,T,1
98,J,T,2
99,J,T,1
100,J,T,0
