PersonID,CourseID,Weather,Y
1,3,B,1
1,9,A,1
1,1,C,1
1,9,A,1
1,7,B,1
1,9,B,1
1,3,C,0
1,1,B,1
1,9,A,1
1,7,A,1
1,7,A,1
1,7,C,1
1,3,A,1
1,7,A,1
1,1,A,1
1,3,A,1
1,3,A,0
1,3,B,1
1,3,A,1
1,9,A,1
1,1,B,1
1,3,B,1
1,9,C,0
1,7,C,1
1,1,A,1
1,3,A,1
1,9,B,1
1,9,A,1
1,9,B,1
1,7,A,1
1,1,B,1
1,3,A,1
1,7,B,1
1,3,A,0
1,7,C,0
1,9,A,1
1,9,A,1
1,7,A,1
1,7,B,1
1,1,A,1
1,9,A,1
1,7,B,1
1,1,B,1
2,8,A,1
2,9,A,1
2,10,A,1
2,1,C,1
2,9,A,0
2,10,B,1
2,7,B,1
2,9,B,1
2,1,B,0
2,10,A,1
2,9,A,1
2,7,A,1
2,7,A,1
2,10,A,1
2,7,C,1
2,8,A,0
2,10,C,1
2,10,A,1
2,7,A,0
2,8,A,0
2,1,A,1
2,8,B,0
2,9,A,1
2,1,B,1
2,8,C,1
2,8,B,0
2,9,C,1
2,7,C,1
2,1,A,1
2,9,B,1
2,9,A,1
2,9,B,1
2,8,C,0
2,8,A,1
2,7,A,1
2,8,C,0
2,1,B,1
2,7,B,1
2,7,C,1
2,8,B,1
2,10,A,1
2,9,A,0
2,9,A,1
2,7,A,1
2,7,B,1
2,8,A,0
2,1,A,0
2,10,B,1
2,9,A,0
2,10,A,1
2,7,B,1
2,10,B,0
2,1,B,1
2,10,A,1
2,8,A,0
2,10,C,0
3,8,A,1
3,10,A,1
3,1,C,1
3,10,B,1
3,1,B,1
3,10,A,1
3,10,A,1
3,8,A,1
3,10,C,1
3,10,A,0
3,8,A,1
3,1,A,1
3,8,B,0
3,1,B,1
3,8,C,0
3,8,B,0
3,1,A,1
3,8,C,0
3,8,A,0
3,8,C,1
3,1,B,1
3,8,B,0
3,10,A,1
3,8,A,1
3,1,A,1
3,10,B,1
3,10,A,1
3,10,B,1
3,1,B,1
3,10,A,1
3,8,A,0
3,10,C,1
4,8,A,0
4,6,A,1
4,6,A,0
4,7,B,1
4,6,B,0
4,4,C,1
4,7,A,1
4,7,A,1
4,7,C,1
4,8,A,1
4,6,A,0
4,6,A,1
4,7,A,1
4,8,A,0
4,8,B,1
4,4,A,1
4,4,A,1
4,8,C,0
4,6,B,1
4,8,B,1
4,4,B,1
4,7,C,1
4,4,B,0
4,8,C,1
4,8,A,1
4,7,A,1
4,8,C,0
4,4,A,1
4,7,B,1
4,4,A,1
4,7,C,0
4,8,B,1
4,7,A,1
4,4,A,1
4,7,B,1
4,4,A,1
4,8,A,0
4,6,C,1
4,6,A,1
4,4,C,1
4,7,B,1
4,4,A,1
4,8,A,1
4,6,A,0
4,6,A,0
5,1,C,1
5,2,B,0
5,1,B,0
5,4,C,1
5,2,B,0
5,1,A,1
5,4,A,1
5,2,B,1
5,4,A,1
5,2,A,1
5,2,B,1
5,1,B,1
5,2,B,0
5,2,A,0
5,4,B,1
5,1,A,1
5,4,B,1
5,1,B,0
5,4,A,1
5,4,A,1
5,2,B,0
5,2,A,0
5,2,A,1
5,2,A,0
5,4,A,1
5,4,A,1
5,2,B,0
5,1,A,1
5,4,C,1
5,2,C,1
5,4,A,1
5,1,B,1
5,2,A,1
6,5,A,1
6,9,A,1
6,10,A,1
6,1,C,1
6,9,A,1
6,5,B,1
6,10,B,1
6,5,C,1
6,9,B,1
6,1,B,1
6,4,C,1
6,10,A,1
6,9,A,1
6,10,A,1
6,10,C,1
6,10,A,1
6,1,A,1
6,5,A,1
6,4,A,1
6,5,A,1
6,5,B,1
6,4,A,1
6,5,A,0
6,9,A,1
6,1,B,1
6,5,A,1
6,9,C,1
6,4,B,1
6,1,A,1
6,4,B,1
6,9,B,1
6,5,A,1
6,9,A,1
6,9,B,1
6,5,C,1
6,1,B,1
6,5,C,1
6,4,A,1
6,4,A,1
6,5,B,1
6,5,C,1
6,10,A,1
6,9,A,1
6,9,A,1
6,4,A,1
6,4,A,1
6,1,A,1
6,5,C,1
6,4,C,1
6,5,B,1
6,10,B,1
6,5,A,1
6,9,A,1
6,10,A,1
6,5,B,1
6,10,B,1
6,4,A,1
6,1,B,1
6,10,A,1
6,10,C,1
6,5,C,1
7,8,A,1
7,7,B,1
7,2,B,0
7,4,C,1
7,7,A,1
7,7,A,1
7,7,C,0
7,8,A,1
7,2,B,0
7,7,A,1
7,8,A,1
7,8,B,1
7,4,A,1
7,2,B,0
7,4,A,1
7,2,A,0
7,2,B,1
7,8,C,1
7,2,B,0
7,2,A,1
7,8,B,0
7,4,B,1
7,7,C,1
7,4,B,1
7,8,C,1
7,8,A,1
7,7,A,1
7,8,C,0
7,4,A,1
7,7,B,1
7,4,A,1
7,2,B,1
7,7,C,1
7,8,B,0
7,2,A,0
7,2,A,0
7,2,A,0
7,7,A,1
7,4,A,1
7,7,B,1
7,4,A,1
7,2,B,0
7,8,A,1
7,4,C,1
7,7,B,1
7,2,C,1
7,4,A,1
7,8,A,0
7,2,A,1
8,3,B,1
8,8,A,0
8,10,A,1
8,1,C,0
8,6,A,1
8,6,A,0
8,10,B,1
8,7,B,1
8,6,B,0
8,3,C,0
8,1,B,0
8,4,C,1
8,10,A,1
8,7,A,1
8,7,A,1
8,10,A,0
8,7,C,1
8,8,A,0
8,6,A,0
8,6,A,0
8,3,A,1
8,10,C,1
8,10,A,1
8,7,A,1
8,8,A,1
8,1,A,1
8,8,B,1
8,3,A,0
8,4,A,1
8,3,A,0
8,4,A,1
8,3,B,0
8,3,A,1
8,1,B,1
8,8,C,0
8,6,B,0
8,3,B,1
8,8,B,1
8,4,B,1
8,7,C,0
8,1,A,1
8,4,B,1
8,3,A,1
8,8,C,1
8,8,A,1
8,7,A,1
8,8,C,1
8,1,B,1
8,3,A,0
8,4,A,1
8,7,B,0
8,4,A,1
8,3,A,0
8,7,C,1
8,8,B,1
8,10,A,1
8,7,A,1
8,4,A,1
8,7,B,0
8,4,A,1
8,8,A,0
8,1,A,0
8,6,C,0
8,6,A,0
8,4,C,0
8,10,B,1
8,10,A,1
8,7,B,1
8,10,B,1
8,4,A,1
8,1,B,0
8,10,A,1
8,8,A,1
8,6,A,0
8,10,C,0
8,6,A,0
9,3,B,1
9,9,A,1
9,10,A,1
9,1,C,1
9,6,A,1
9,9,A,1
9,6,A,0
9,10,B,1
9,6,B,0
9,2,B,1
9,9,B,1
9,3,C,1
9,1,B,1
9,4,C,1
9,10,A,1
9,9,A,1
9,10,A,1
9,6,A,1
9,6,A,0
9,3,A,1
9,2,B,1
9,10,C,1
9,10,A,1
9,1,A,0
9,3,A,0
9,4,A,1
9,3,A,1
9,2,B,0
9,4,A,1
9,2,A,1
9,2,B,1
9,3,B,0
9,3,A,1
9,9,A,1
9,1,B,1
9,2,B,0
9,6,B,1
9,3,B,0
9,2,A,1
9,9,C,1
9,4,B,1
9,1,A,1
9,4,B,1
9,3,A,1
9,9,B,1
9,9,A,1
9,9,B,1
9,1,B,1
9,3,A,1
9,4,A,1
9,4,A,1
9,2,B,1
9,3,A,1
9,2,A,0
9,10,A,1
9,9,A,1
9,9,A,1
9,2,A,1
9,2,A,0
9,4,A,0
9,4,A,1
9,2,B,1
9,1,A,1
9,6,C,0
9,6,A,1
9,4,C,1
9,10,B,1
9,9,A,1
9,10,A,1
9,2,C,1
9,10,B,1
9,4,A,1
9,1,B,1
9,10,A,1
9,2,A,1
9,6,A,0
9,10,C,1
9,6,A,0
10,3,B,1
10,8,A,1
10,5,A,0
10,10,A,1
10,5,B,1
10,10,B,1
10,5,C,1
10,3,C,0
10,4,C,0
10,10,A,1
10,10,A,1
10,8,A,1
10,3,A,1
10,10,C,1
10,10,A,1
10,8,A,1
