X,Y,KID,GID
7,457,1,1
10,482,1,1
16,518,1,1
25,535,1,1
5,427,1,1
25,603,1,1
26,610,1,1
18,484,1,1
17,508,1,1
1,380,1,1
5,453,1,1
4,391,1,1
19,559,1,1
10,453,1,1
21,517,1,1
12,553,2,1
17,653,2,1
22,763,2,1
9,538,2,1
18,708,2,1
21,740,2,1
6,437,2,1
15,646,2,1
4,422,2,1
7,444,2,1
10,504,2,1
2,376,2,1
15,522,3,1
27,623,3,1
14,515,3,1
18,542,3,1
20,529,3,1
18,540,3,1
11,411,3,1
26,666,3,1
22,641,3,1
25,592,3,1
28,722,4,1
24,726,4,1
22,728,4,1
20,927,5,2
19,1036,5,2
12,640,5,2
15,851,5,2
10,568,5,2
16,832,5,2
1,191,5,2
12,730,5,2
10,742,5,2
7,562,5,2
17,722,5,2
15,849,6,2
12,899,6,2
9,788,6,2
14,766,6,2
13,787,6,2
15,923,6,2
9,675,6,2
14,811,6,2
11,660,6,2
10,598,7,2
13,757,7,2
26,1097,7,2
3,358,7,2
14,701,7,2
23,1097,7,2
10,583,7,2
7,560,7,2
0,388,7,2
3,420,7,2
7,493,7,2
4,423,7,2
24,1007,7,2
6,557,7,2
34,1331,7,2
33,1398,7,2
24,1003,7,2
23,863,8,2
23,920,8,2
22,886,8,2
14,637,8,2
26,873,8,2
21,860,8,2
20,779,8,2
12,700,8,2
17,683,8,2
24,880,9,2
15,567,9,2
26,863,9,2
27,927,9,2
20,681,9,2
7,484,9,2
26,837,9,2
4,303,9,2
22,740,9,2
15,726,9,2
27,849,9,2
16,632,10,2
20,814,10,2
4,434,10,2
18,864,10,2
8,622,10,2
10,568,10,2
16,833,10,2
2,271,10,2
8,267,10,2
13,589,10,2
19,741,10,2
7,244,10,2
2,406,10,2
19,714,10,2
4,378,10,2
1,161,10,2
8,561,10,2
7,671,10,2
5,338,10,2
13,625,10,2
16,913,10,2
9,627,10,2
19,988,10,2
5,426,10,2
13,621,10,2
7,428,10,2
26,1198,11,2
20,828,11,2
16,809,11,2
22,974,11,2
24,1190,11,2
26,1172,12,2
18,818,12,2
34,1521,12,2
19,960,12,2
30,1299,12,2
22,1081,12,2
21,1016,12,2
2,301,12,2
9,639,12,2
27,1228,12,2
20,821,13,2
20,765,13,2
16,781,13,2
14,858,13,2
5,532,13,2
13,810,13,2
12,763,13,2
1,370,13,2
8,466,13,2
18,724,14,2
8,565,14,2
10,358,14,2
3,330,14,2
4,448,14,2
11,580,14,2
8,524,14,2
13,622,14,2
12,603,14,2
2,347,14,2
6,392,14,2
0,238,14,2
20,762,14,2
8,463,14,2
20,714,14,2
10,551,14,2
9,515,14,2
12,816,15,2
6,451,15,2
10,624,15,2
11,686,15,2
12,637,15,2
9,605,15,2
6,476,15,2
5,353,15,2
13,741,15,2
12,691,15,2
13,830,15,2
15,516,16,2
24,814,16,2
28,852,16,2
31,773,16,2
18,675,16,2
25,767,16,2
19,674,16,2
24,824,16,2
13,548,16,2
24,918,16,2
24,769,16,2
26,671,16,2
28,913,16,2
29,735,16,2
8,453,17,2
25,968,17,2
30,1109,17,2
27,1031,17,2
30,1199,17,2
10,644,17,2
29,1137,17,2
13,598,18,2
15,736,18,2
15,766,18,2
14,698,18,2
12,662,18,2
15,675,18,2
14,626,18,2
12,739,18,2
14,724,18,2
13,653,18,2
15,756,18,2
12,781,18,2
15,608,19,2
20,798,19,2
17,739,19,2
19,609,19,2
12,591,19,2
12,458,19,2
17,472,19,2
14,443,19,2
8,572,20,2
20,1104,20,2
13,764,20,2
26,1176,20,2
3,415,20,2
32,1471,20,2
21,972,20,2
21,985,20,2
24,1044,20,2
9,478,21,2
7,438,21,2
10,537,21,2
15,726,21,2
5,446,21,2
12,609,21,2
8,475,21,2
13,624,21,2
14,670,21,2
15,661,21,2
14,688,21,2
5,453,21,2
8,521,22,2
26,1040,22,2
6,555,22,2
27,1033,22,2
32,1253,22,2
16,798,22,2
2,519,22,2
21,825,22,2
27,1065,22,2
5,507,22,2
32,1301,22,2
22,989,22,2
28,1070,22,2
25,824,23,3
6,571,23,3
20,756,23,3
33,940,23,3
20,785,24,3
14,701,24,3
22,807,24,3
11,663,24,3
11,662,24,3
8,620,24,3
13,687,24,3
32,943,24,3
8,637,25,3
7,583,25,3
8,654,25,3
20,801,25,3
19,751,25,3
25,815,25,3
11,621,26,3
12,650,26,3
8,590,26,3
10,614,26,3
13,644,26,3
12,645,26,3
15,673,26,3
16,695,27,3
12,653,27,3
15,695,27,3
2,534,27,3
8,610,27,3
19,708,28,3
14,663,28,3
14,668,28,3
12,643,28,3
14,665,28,3
18,704,28,3
13,637,29,3
8,579,29,3
7,577,29,3
5,546,29,3
14,651,30,3
20,718,30,3
25,800,30,3
16,670,30,3
22,746,30,3
17,690,30,3
23,740,30,3
20,720,30,3
26,805,30,3
20,727,30,3
