A,Score,X3,X4,Y
0,69,-0.56,1.2,0.286
1,145,-0.23,0.67,0.196
0,125,1.56,0.98,0.261
1,86,0.07,1.91,0.109
1,158,0.13,0.97,0.23
0,133,1.72,1.78,0.35
0,111,0.46,1.83,0.33
1,147,-1.27,1.22,0.194
0,146,-0.69,0.82,0.413
0,145,-0.45,0.29,0.36
1,141,1.22,1.87,0.225
0,137,0.36,0.6,0.423
1,118,0.4,0.12,0.186
0,111,0.11,1.9,0.287
0,109,-0.56,1.44,0.371
1,99,1.79,0.28,0.183
0,114,0.5,1.1,0.345
0,82,-1.97,1.91,0.264
0,185,0.7,1.17,0.413
1,156,-0.47,0.81,0.316
1,86,-1.07,1.3,0.062
1,108,-0.22,0.64,0.272
1,106,-1.03,0.62,0.229
1,143,-0.73,0.44,0.195
1,117,-0.63,0.74,0.097
1,128,-1.69,1.97,0.137
0,119,0.84,0.31,0.337
0,119,0.15,0.18,0.307
0,161,-1.14,0.28,0.383
0,113,1.25,1.38,0.253
1,165,0.43,1.24,0.249
1,74,-0.3,1.78,0.027
1,138,0.9,1.35,0.099
1,124,0.88,1.47,0.149
0,126,0.82,1.04,0.391
0,131,0.69,1.32,0.311
1,105,0.55,1.64,0.171
0,110,-0.06,1.57,0.207
0,89,-0.31,1.96,0.26
0,88,-0.38,0.88,0.293
0,129,-0.69,0.62,0.36
0,133,-0.21,0.82,0.356
0,122,-1.27,0.02,0.289
0,148,2.17,0.37,0.328
0,182,1.21,1.69,0.383
0,105,-1.12,0.46,0.302
0,51,-0.4,0.48,0.133
0,150,-0.47,0.15,0.353
0,99,0.78,0.49,0.268
1,99,-0.08,1.46,0.234
