Age,Sex,Income,Y
18,1,472,2
18,0,468,5
18,1,451,6
18,1,441,6
18,1,499,6
19,0,582,4
19,0,364,6
19,0,568,2
19,0,697,4
20,0,819,6
20,0,706,4
20,0,634,6
20,1,386,6
20,0,483,6
20,0,508,3
20,1,627,1
20,1,533,1
20,0,423,4
20,0,763,4
21,1,653,2
21,1,571,5
21,0,695,4
21,0,417,2
21,1,622,6
21,0,490,3
21,0,624,2
21,1,538,2
22,0,618,6
22,0,711,1
22,1,545,2
22,1,667,4
22,0,429,4
23,1,471,1
23,1,738,6
23,0,587,4
23,0,361,3
23,1,415,1
23,1,523,1
23,1,648,2
23,1,534,4
23,0,617,6
23,0,660,6
23,1,761,4
24,0,551,4
24,0,539,6
24,0,384,1
24,1,555,2
24,0,486,3
24,0,448,2
24,1,525,4
24,0,667,2
25,1,366,5
25,1,500,1
25,0,557,4
26,1,455,6
26,1,582,2
26,1,591,2
26,0,541,2
26,0,333,4
26,1,911,4
26,0,523,6
26,0,620,3
26,1,575,1
26,0,668,2
26,0,641,2
26,1,522,1
26,0,587,6
27,0,451,6
27,0,646,2
27,0,497,6
27,0,883,2
27,0,391,6
27,1,496,1
27,0,642,2
27,1,603,1
27,1,484,1
28,1,446,1
28,0,561,2
28,0,543,1
28,1,381,1
28,1,548,4
28,1,566,1
28,0,564,4
28,1,441,2
28,1,599,1
28,1,717,1
28,0,597,2
29,0,434,2
29,0,499,2
29,0,584,4
29,1,478,2
29,0,354,4
29,1,650,2
30,1,461,2
30,0,486,1
30,0,736,6
30,0,466,5
30,0,645,4
30,0,423,6
30,1,507,2
31,1,537,2
31,0,431,4
31,1,480,2
31,1,541,1
31,0,623,1
31,0,391,6
31,1,508,1
32,0,634,4
32,0,489,2
32,1,570,5
32,0,601,1
32,1,575,4
32,0,621,2
32,0,531,3
32,0,501,6
32,0,321,3
33,1,535,2
33,0,594,4
33,0,606,2
33,0,487,6
33,1,777,6
33,1,577,1
33,1,559,5
33,0,702,4
33,1,472,6
33,1,498,4
33,0,880,2
33,0,546,4
33,0,755,3
33,1,408,6
33,1,524,4
33,1,587,1
33,0,578,2
34,1,445,4
34,0,547,4
34,1,439,2
34,0,628,6
34,0,677,2
34,0,349,1
35,0,697,2
35,0,425,2
35,1,596,6
35,1,621,4
35,0,523,1
35,1,479,1
35,1,563,1
35,1,595,1
36,0,650,6
36,0,361,1
36,1,393,1
36,1,725,6
36,0,671,6
36,0,594,4
36,0,628,1
36,0,654,6
37,1,320,2
37,1,680,6
37,1,494,2
37,0,570,4
37,0,513,3
37,1,648,1
38,0,508,4
38,0,604,6
38,0,504,2
38,1,438,3
38,0,694,2
38,0,632,4
38,1,769,1
38,0,552,2
38,1,682,3
39,0,808,3
39,1,515,1
39,0,418,4
39,1,519,1
39,1,522,2
39,0,561,6
39,1,767,1
40,0,510,1
40,0,587,2
40,1,520,1
40,0,547,3
40,1,580,2
40,0,710,3
40,1,558,1
41,1,628,4
41,0,636,1
41,0,654,6
41,1,485,6
41,0,754,4
41,1,505,1
41,1,533,2
41,0,721,6
42,0,705,2
42,1,438,1
42,0,457,6
42,1,415,2
42,0,565,4
42,0,563,2
42,1,586,1
42,1,608,2
43,0,483,2
43,0,446,4
43,0,669,6
43,0,633,3
43,0,403,6
43,0,534,2
43,1,455,2
43,1,360,6
43,1,561,2
43,0,536,2
43,0,534,6
44,0,569,6
44,1,650,2
44,0,567,4
44,1,481,2
44,0,470,2
44,0,530,1
44,1,579,1
44,0,442,6
44,1,525,1
45,0,661,6
45,0,533,4
45,0,474,3
45,0,515,2
45,1,681,4
45,1,608,1
46,1,697,6
46,0,560,1
46,1,591,2
46,0,487,1
46,1,615,1
46,1,492,1
46,0,410,6
46,1,559,2
47,0,804,6
47,1,639,1
47,0,687,4
47,1,585,1
47,1,482,1
47,0,523,2
48,1,516,5
48,0,496,6
48,1,627,1
48,0,429,1
48,1,648,4
48,1,647,6
48,0,428,6
48,1,619,2
49,1,885,2
49,0,487,4
49,0,645,6
49,0,466,4
49,1,680,4
50,1,572,4
50,1,758,4
50,1,407,1
50,1,539,2
50,1,490,1
51,1,524,1
51,0,480,1
51,0,461,2
51,1,611,4
51,1,438,1
51,0,733,6
51,1,430,1
51,1,556,4
51,0,606,2
51,1,612,6
51,1,513,1
51,1,553,1
52,1,660,1
52,1,407,1
52,1,466,1
52,0,581,6
52,1,498,2
52,1,716,2
52,0,623,4
52,0,552,2
53,1,403,1
53,0,547,4
53,1,511,1
53,1,534,2
54,1,430,2
54,0,602,4
54,1,442,2
54,0,520,6
54,0,588,1
54,1,466,2
54,1,612,4
54,1,419,1
54,1,310,6
54,0,598,2
54,1,644,1
54,0,514,2
55,0,602,2
55,1,432,1
55,1,531,1
55,0,369,4
55,1,690,2
55,0,790,4
