kid	kname	nid
64	加藤一二三	1
77	内藤國雄	2
93	桐山清澄	3
100	森けい二	4
101	滝誠一郎	5
104	田中魁秀	6
106	佐藤義則	7
109	田丸昇	8
110	宮田利男	9
113	淡路仁茂	10
114	青野照市	11
116	前田祐司	12
123	小林健二	13
124	土佐浩司	14
126	森信雄	15
127	田中寅彦	16
128	東和男	17
130	大島映二	18
131	谷川浩司	19
135	福崎文吾	20
138	脇謙二	21
142	高橋道雄	22
143	中村修	23
144	泉正樹	24
146	島朗	25
147	南芳一	26
148	塚田泰明	27
149	神谷広志	28
150	植山悦行	29
151	西川慶二	30
152	武市三郎	31
153	室岡克彦	32
154	堀口弘治	33
155	大野八一雄	34
157	井上慶太	35
158	有森浩三	36
161	森下卓	37
162	浦野真彦	38
164	日浦市郎	39
166	伊藤博文	40
167	小林宏	41
168	富岡英作	42
171	阿部隆	43
172	所司和晴	44
173	中田宏樹	45
174	安西勝一	46
175	羽生善治	47
176	中田功	48
177	石川陽生	49
178	長沼洋	50
179	神崎健二	51
182	佐藤康光	52
183	森内俊之	53
184	中川大輔	54
185	先崎学	55
186	野田敬三	56
187	木下浩一	57
188	小倉久史	58
189	屋敷伸之	59
190	藤原直哉	60
191	高田尚平	61
192	畠山鎮	62
193	畠山成幸	63
194	丸山忠久	64
195	郷田真隆	65
196	佐藤秀司	66
197	杉本昌隆	67
198	藤井猛	68
199	平藤眞吾	69
200	豊川孝弘	70
201	深浦康市	71
202	真田圭一	72
203	飯塚祐紀	73
204	三浦弘行	74
205	伊藤能	75
206	川上猛	76
207	久保利明	77
208	行方尚史	78
209	岡崎洋	79
210	窪田義行	80
211	北浜健介	81
212	矢倉規広	82
213	鈴木大介	83
214	北島忠雄	84
215	勝又清和	85
216	松本佳介	86
217	田村康介	87
218	堀口一史座	88
219	中座真	89
220	近藤正和	90
221	野月浩貴	91
222	木村一基	92
223	小林裕士	93
224	佐藤紳哉	94
225	増田裕司	95
226	高野秀行	96
227	山崎隆之	97
228	伊奈祐介	98
229	山本真也	99
230	中尾敏之	100
231	松尾歩	101
232	金沢孝史	102
233	阿久津主税	103
234	安用寺孝功	104
235	渡辺明	105
236	飯島栄治	106
237	千葉幸生	107
238	上野裕和	108
239	橋本崇載	109
240	佐々木慎	110
241	宮田敦史	111
242	村田智弘	112
243	大平武洋	113
244	熊坂学	114
245	藤倉勇樹	115
246	横山泰明	116
247	島本亮	117
248	西尾明	118
249	村山慈明	119
250	佐藤和俊	120
251	片上大輔	121
252	中村亮介	122
253	村中秀史	123
254	阪口悟	124
255	広瀬章人	125
256	長岡裕也	126
257	高崎一生	127
258	遠山雄亮	128
259	瀬川晶司	129
260	糸谷哲郎	130
261	中村太地	131
262	戸辺誠	132
263	佐藤天彦	133
264	豊島将之	134
265	金井恒太	135
266	伊藤真吾	136
267	村田顕弘	137
268	及川拓馬	138
269	稲葉陽	139
270	田中悠一	140
271	佐藤慎一	141
272	西川和宏	142
273	吉田正和	143
274	澤田真吾	144
275	大石直嗣	145
276	永瀬拓矢	146
277	阿部健治郎	147
278	菅井竜也	148
279	牧野光則	149
280	佐々木勇気	150
281	船江恒平	151
282	門倉啓太	152
283	阿部光瑠	153
284	高見泰地	154
285	藤森哲也	155
286	斎藤慎太郎	156
287	八代弥	157
288	上村亘	158
289	石田直裕	159
290	渡辺大夢	160
291	千田翔太	161
292	竹内雄悟	162
293	石井健太郎	163
294	三枚堂達也	164
295	星野良生	165
296	宮本広志	166
