Loser,Winner
22,83
39,27
47,105
1,7
45,81
19,77
150,108
155,122
86,136
141,95
94,58
143,138
154,145
79,30
49,76
156,123
112,51
120,137
157,116
89,129
149,146
6,144
60,148
82,118
126,142
85,128
48,152
140,124
98,153
69,50
61,114
5,135
33,121
52,105
109,22
21,36
40,56
73,97
45,92
101,35
62,77
64,78
83,103
67,54
87,133
55,68
26,11
88,25
91,104
23,37
63,134
28,24
70,81
43,132
80,106
119,126
48,87
127,72
150,110
4,120
38,15
16,89
140,41
47,74
19,71
59,65
131,105
52,105
71,53
43,145
131,50
2,84
27,14
113,110
107,111
1,13
21,69
3,139
4,96
93,38
127,121
16,147
39,72
20,130
42,151
90,66
119,135
85,146
12,60
32,156
153,108
31,44
6,82
157,143
106,73
118,83
22,59
4,112
10,137
122,80
12,134
24,29
133,75
61,88
149,95
11,86
154,37
136,52
125,68
78,47
74,19
52,47
68,19
94,101
151,144
15,166
34,159
145,139
138,121
16,152
55,23
87,25
103,26
97,98
160,81
147,115
77,65
92,53
119,105
64,148
65,105
53,148
74,52
68,53
18,140
69,156
128,39
160,153
101,125
98,50
93,147
133,147
78,134
3,120
131,88
42,116
20,82
90,58
163,155
57,107
24,159
113,118
9,135
67,64
92,93
55,89
87,91
46,41
57,102
95,148
122,136
132,109
52,105
142,48
97,130
151,43
84,125
110,73
63,98
2,104
123,111
100,158
17,38
112,21
143,96
80,150
50,113
24,113
103,47
106,68
121,35
25,37
16,28
115,160
157,127
85,11
48,124
119,144
83,59
130,19
133,22
116,100
66,94
78,65
132,19
2,137
15,3
79,87
119,49
142,130
111,78
71,64
72,153
139,54
11,147
14,155
99,36
9,42
27,58
33,123
10,151
51,43
20,60
50,144
145,68
18,84
25,158
102,146
150,96
108,88
93,98
141,131
4,129
122,106
138,90
23,126
66,81
119,128
148,145
8,159
110,120
63,149
30,13
111,153
31,28
6,112
26,82
56,104
46,127
107,134
54,134
97,133
130,62
136,70
34,5
40,3
20,144
71,74
59,52
105,47
19,109
22,65
105,65
53,47
29,154
28,89
132,155
114,23
118,133
136,73
32,116
114,123
66,93
1,14
113,111
127,13
69,42
2,119
3,110
4,39
84,121
16,107
27,72
131,139
21,20
38,135
50,130
151,147
90,96
142,144
105,52
122,141
117,145
5,85
60,148
77,65
23,54
106,55
81,134
88,133
104,11
25,28
67,132
26,24
63,80
37,68
91,70
87,43
126,66
110,64
145,62
13,99
76,119
10,139
8,131
30,130
148,105
47,105
19,148
133,105
78,105
89,142
76,48
136,98
152,141
154,138
95,85
143,145
58,79
49,156
123,148
112,144
129,137
155,86
108,116
126,146
149,150
6,140
94,82
51,122
30,157
118,128
120,124
60,153
43,109
24,74
105,52
7,14
29,42
44,91
132,65
72,146
34,87
17,151
35,77
125,73
62,64
45,78
83,97
103,92
104,126
132,126
113,136
8,107
14,154
134,130
32,110
155,1
58,27
59,83
158,91
56,67
143,88
122,108
31,150
18,70
123,136
87,159
108,81
70,136
159,150
136,81
128,111
110,37
52,105
98,93
157,66
26,51
44,90
40,38
17,6
61,28
21,124
36,151
60,139
79,135
93,124
6,38
2,51
139,151
90,66
28,135
51,38
124,151
66,135
89,72
50,82
33,138
126,115
117,104
3,148
23,118
96,152
43,131
63,130
25,136
81,125
116,68
75,111
107,158
8,42
147,129
57,121
11,114
