Sex,Sake,Age,Y
0,1,18,5
1,0,18,2
1,1,18,1
0,0,19,3
0,0,19,5
1,0,19,7
0,1,20,5
0,0,20,0
0,0,21,8
0,0,21,8
0,0,21,0
0,1,21,7
0,0,21,6
1,0,22,0
0,0,22,0
1,0,22,1
0,1,22,4
0,0,22,0
1,0,23,0
1,0,23,3
0,0,23,0
1,0,23,0
1,0,23,4
1,0,23,8
0,1,23,7
0,0,23,3
0,0,23,7
0,0,24,0
1,0,24,2
1,1,24,4
1,1,25,0
0,0,25,9
0,0,26,0
0,1,26,7
0,0,26,0
0,0,26,0
0,0,26,9
1,0,26,4
0,0,26,6
1,0,26,1
0,0,26,13
1,0,27,5
0,1,27,7
1,0,27,1
0,1,27,6
1,1,27,2
0,1,28,10
1,0,28,0
1,0,28,2
1,0,28,1
0,0,28,6
0,0,28,9
0,0,28,0
0,0,28,9
0,0,29,8
1,1,29,3
0,1,29,11
0,1,29,4
0,0,30,0
1,0,30,6
1,1,30,3
1,0,30,1
1,0,30,4
1,0,30,3
0,0,31,0
0,0,31,0
0,0,31,5
0,0,31,0
0,0,32,8
0,1,32,7
1,0,32,2
0,1,32,4
0,0,32,0
0,1,32,7
1,0,32,6
1,0,32,5
1,0,32,0
0,0,33,0
0,0,33,0
1,1,33,4
1,0,33,2
0,1,33,11
0,0,33,10
0,0,33,5
0,1,33,0
0,0,33,0
0,0,34,0
0,0,34,0
0,0,34,0
1,1,34,2
0,1,34,7
0,0,35,11
0,0,35,0
1,1,35,3
1,0,35,6
1,1,35,4
1,0,35,1
0,0,36,0
0,0,36,0
1,1,36,5
1,0,36,0
0,0,36,0
1,0,36,6
1,0,37,0
1,0,37,5
0,0,37,9
0,0,38,0
0,0,38,0
0,1,38,10
0,0,38,0
0,0,38,2
0,0,38,0
1,1,39,6
0,0,39,10
0,1,39,6
1,0,39,8
1,0,39,5
0,1,40,8
0,0,40,9
1,1,40,3
1,0,40,6
0,0,40,5
0,0,41,9
1,0,41,0
0,0,41,0
0,0,41,11
1,1,41,3
0,0,41,0
0,1,41,5
1,0,42,6
1,1,42,6
0,0,42,7
1,0,42,9
1,1,42,2
0,0,42,0
0,1,43,12
1,0,43,0
1,1,43,0
1,0,43,5
1,0,43,4
0,1,43,0
0,0,43,0
0,1,44,7
0,0,44,0
0,1,44,9
0,1,44,6
1,0,44,0
0,1,44,4
0,1,45,8
1,0,45,0
0,0,46,0
1,0,46,4
0,0,46,0
0,1,46,8
1,0,46,6
1,0,46,3
1,0,47,8
0,0,47,11
0,0,47,0
1,0,47,7
0,0,48,0
0,1,48,15
1,1,48,0
0,0,48,0
0,0,48,0
1,0,48,9
0,0,49,0
0,1,49,12
0,0,50,0
0,1,50,9
0,0,50,7
0,1,50,9
1,0,51,0
0,0,51,15
0,1,51,9
1,1,51,6
1,0,51,3
0,0,51,0
0,0,51,0
1,0,51,0
0,1,52,12
1,1,52,2
0,1,52,9
1,0,52,5
0,1,52,17
1,0,52,6
0,0,53,0
0,0,53,0
0,1,53,10
0,0,54,15
1,0,54,0
0,0,54,0
1,1,54,5
1,0,54,4
0,0,54,13
0,1,55,6
0,0,55,0
0,0,55,0
0,1,55,12
1,0,55,6
