X,Y
1,-0.25
2,1.92
3,-0.57
4,-1.41
5,-0.9
6,-0.58
7,1.05
8,0.36
9,0.12
10,0.52
11,-0.76
12,-0.86
13,-0.14
14,1.5
15,-0.41
16,1.15
17,0.92
18,-0.12
19,-0.21
20,0.38
21,0.2
22,1.84
23,0.28
24,-1.2
25,-0.47
26,-0.47
27,-0.9
28,0.39
29,0.99
30,0.42
31,1.33
32,0.12
33,1.07
34,-0.09
35,0.23
36,-0.45
37,0.77
38,0.82
39,0.96
40,0.12
41,0.73
42,-0.02
43,-0.22
44,0.03
45,1.83
46,0.16
47,0.77
48,-1.14
49,1.1
50,1
51,0.06
52,0.27
53,-0.26
54,0.2
55,-1.04
56,-0.29
57,-0.73
58,0
59,-0.72
60,-0.48
61,-0.32
62,-0.45
63,-0.65
64,1.03
65,0.63
66,0.38
67,-0.5
68,-0.53
69,0.16
70,0.38
71,0.72
72,1.25
73,1.03
74,-1.66
75,0.64
76,-0.59
77,-1.09
78,0.04
79,0.91
80,0.25
81,0.11
82,-0.51
83,-0.16
84,0.27
85,-0.78
86,0.88
87,-0.06
88,2
89,0.71
90,0.96
91,0.52
92,-0.2
93,-0.77
94,0.13
95,-0.06
96,0.55
97,-0.72
98,-0.48
99,-0.84
100,-0.05
101,1.89
102,1.06
103,1.64
104,0.43
105,1.37
106,1.22
107,0.79
108,0.53
109,1.69
110,0.73
111,1.77
112,0.98
113,1.81
114,0.61
115,0.49
116,0.3
117,1.69
118,2.03
119,-0.64
120,1.02
121,0.19
122,2.69
123,0.9
124,1.92
125,0.6
126,0.06
127,0.9
128,-0.62
129,0.55
130,0.62
131,1.67
132,0.73
133,0.09
134,1.67
135,0.84
136,1.01
137,-0.79
138,0.63
139,1.39
140,1.68
141,2.1
142,1.3
143,1.78
144,2.22
145,1.52
146,0.33
147,0.92
148,1
149,1.15
150,0.6
151,0.9
152,1.39
153,0.77
154,2.03
155,1.24
156,1.05
157,1.01
158,1.2
159,1.1
160,1.05
161,1.8
162,1.19
163,1.14
164,0.62
165,1.7
166,1.5
167,0.51
168,0.51
169,1.26
170,1.3
171,0
172,0.92
173,1.42
174,0.43
175,0.54
176,-0.74
177,-0.55
178,1.47
179,0.99
180,-0.25
181,0.21
182,0.57
183,0.55
184,0.83
185,1.04
186,1.57
187,0.63
188,0.56
189,-0.39
190,2.88
191,0.88
192,0.2
193,0.71
194,1.14
195,2.04
196,-0.03
197,0.85
198,2.19
199,0.75
200,1.29
201,-1.72
202,-1.5
203,-1.1
204,-1.11
205,0.96
206,-0.22
207,-1.95
208,-2.8
209,-1.62
210,-0.38
211,-1.54
212,-0.55
213,-1.5
214,-0.67
215,-0.34
216,-0.25
217,-1.03
218,-1.17
219,-1.6
220,0.04
221,-2.31
222,-1.21
223,0.18
224,-1.83
225,-0.57
226,-0.24
227,-1.89
228,-1.18
229,-0.36
230,-0.83
231,-0.84
232,-0.7
233,-0.61
234,-0.54
235,-0.88
236,-0.97
237,-1.52
238,-0.42
239,-1.19
240,-0.7
241,-2.16
242,-1.27
243,-0.27
244,-0.71
245,-0.16
246,-1.6
247,-0.26
248,-1.47
249,-1.99
250,-1.43
251,-1.73
252,-1.23
253,-1.53
254,-1.46
255,0.45
256,-0.26
257,-1.46
258,-0.51
259,-0.28
260,-0.5
261,-0.81
262,-1.05
263,-2.48
264,-0.67
265,0.66
266,-1.46
267,-1.2
268,-2.59
269,-1.6
270,-2.13
271,-1.16
272,-2.46
273,-1.23
274,-1.19
275,-2.34
276,-0.41
277,0.15
278,-1.24
279,-1.01
280,-0.89
281,-0.37
282,1
283,-1.25
284,-1.37
285,-0.95
286,-2.42
287,-1.4
288,-0.79
289,-0.99
290,-1.46
291,-2.11
292,-1.57
293,-0.33
294,0.41
295,-0.33
296,-1.8
297,0.06
298,-1.13
299,-0.9
300,-2.07
301,-0.25
302,0.08
303,0.46
304,-0.25
305,-0.36
306,1.55
307,0.09
308,-0.17
309,-0.83
310,-0.27
311,-0.05
312,-0.45
313,0.67
314,0.63
315,0.87
316,0.44
317,0.87
318,0.02
319,0.23
320,0.01
321,-0.54
322,-0.61
323,0.41
324,0.77
325,0.4
326,-0.38
327,-1.29
328,-0.57
329,0.5
330,-0.58
331,-0.26
332,0.74
333,-0.12
334,0.51
335,1.15
336,-1.37
337,-0.4
338,-0.29
339,0.41
340,-0.96
341,-1
342,-0.17
343,0.69
344,-0.36
345,-0.87
346,0.21
347,1.56
348,0.31
349,0.4
350,0.54
351,-0.35
352,-0.05
353,0.69
354,-0.18
355,-0.2
356,1.17
357,-0.19
358,0.37
359,0.03
360,-0.76
361,1.57
362,1.03
363,0.5
364,0.5
365,-0.4
366,0.23
367,-0.49
368,1.48
369,1.33
370,-0.36
371,0.29
372,0.24
373,-0.08
374,-1.5
375,0.19
376,0.07
377,0.8
378,0.01
379,0.64
380,-0.01
381,0.48
382,0.05
383,2.52
384,1.13
385,-0.66
386,-0.12
387,1.79
388,-0.71
389,2.17
390,-0.05
391,-1.03
392,0.91
393,-0.77
394,0.1
395,0.97
396,0.36
397,-0.51
398,-0.1
399,0.85
400,-1.72
