From,To
1,2
2,5
2,3
3,5
3,4
4,6
4,7
4,5
5,6
6,7
6,15
7,8
7,9
7,10
7,15
8,12
8,11
8,9
9,11
9,10
10,11
10,15
10,20
11,12
11,13
11,19
11,20
12,13
12,14
13,14
13,19
14,19
14,22
15,20
15,16
16,17
16,21
16,20
17,18
17,21
18,26
18,25
18,21
19,20
19,22
20,22
20,23
20,21
21,23
21,24
21,25
22,23
23,24
24,25
24,26
24,29
24,30
25,26
26,27
26,28
26,29
27,29
27,30
27,28
28,31
28,33
28,37
28,36
28,30
29,30
30,36
31,32
31,33
31,34
32,34
32,35
33,34
33,37
34,35
34,38
34,37
35,38
35,40
35,44
36,37
36,38
36,39
37,38
38,39
38,44
40,41
40,43
40,44
40,42
41,42
43,44
43,45
43,46
44,45
45,46
